FirstGen,EntryType,BIPOC,Group,Group2,Pell,Count,IsFemale
1,F,1,3. Other,2. Other,0,1,0
1,F,1,3. Other,2. Other,1,1,1
0,F,0,3. Other,2. Other,0,1,1
0,T,0,1. Rural,1. Rural/Small Rural,0,1,0
0,F,0,3. Other,2. Other,0,1,1
0,F,1,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,0,1,1
0,F,1,3. Other,2. Other,1,1,0
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,0
1,F,1,3. Other,2. Other,1,1,1
0,F,0,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,1,1,0
0,F,0,2. Small Rural,1. Rural/Small Rural,0,1,0
0,F,0,3. Other,2. Other,0,1,1
0,F,1,3. Other,2. Other,1,1,1
0,F,1,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,1,1,1
0,F,0,3. Other,2. Other,0,1,0
0,F,1,3. Other,2. Other,0,1,1
1,F,0,1. Rural,1. Rural/Small Rural,0,1,1
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,1
1,F,1,3. Other,2. Other,1,1,0
0,F,0,3. Other,2. Other,1,1,0
0,F,0,3. Other,2. Other,0,1,1
1,F,1,3. Other,2. Other,0,1,0
0,F,1,3. Other,2. Other,0,1,0
0,F,1,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,0
1,F,1,3. Other,2. Other,1,1,1
0,F,0,1. Rural,1. Rural/Small Rural,0,1,1
0,F,1,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,1,1,1
0,F,0,3. Other,2. Other,1,1,1
0,F,0,3. Other,2. Other,0,1,0
0,F,1,3. Other,2. Other,0,1,1
0,F,0,1. Rural,1. Rural/Small Rural,0,1,1
1,F,0,3. Other,2. Other,1,1,0
1,T,1,3. Other,2. Other,0,1,0
0,F,1,3. Other,2. Other,1,1,0
0,F,1,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,0,1,0
0,F,1,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,0
0,F,1,1. Rural,1. Rural/Small Rural,1,1,1
0,F,1,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,1,1,1
0,F,1,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,0,1,0
0,F,1,3. Other,2. Other,0,1,1
0,F,1,3. Other,2. Other,0,1,1
0,F,1,3. Other,2. Other,1,1,1
0,F,0,3. Other,2. Other,0,1,1
0,T,0,3. Other,2. Other,0,1,0
0,F,0,1. Rural,1. Rural/Small Rural,1,1,0
0,F,0,3. Other,2. Other,0,1,1
0,F,1,3. Other,2. Other,1,1,0
0,F,0,3. Other,2. Other,0,1,1
0,F,1,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,0,1,1
0,F,1,3. Other,2. Other,0,1,1
0,T,0,3. Other,2. Other,0,1,1
0,T,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,0
0,F,1,3. Other,2. Other,0,1,1
1,F,1,3. Other,2. Other,1,1,0
1,F,1,3. Other,2. Other,1,1,0
0,F,1,3. Other,2. Other,0,1,1
0,F,1,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,1
0,F,1,3. Other,2. Other,0,1,0
1,F,1,3. Other,2. Other,1,1,1
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,0
1,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,0
0,F,0,1. Rural,1. Rural/Small Rural,0,1,0
0,F,1,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,1
1,F,0,3. Other,2. Other,0,1,0
1,F,0,1. Rural,1. Rural/Small Rural,0,1,0
0,F,1,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,0,1,0
0,F,1,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,0
0,T,1,3. Other,2. Other,0,1,1
0,F,1,3. Other,2. Other,0,1,1
1,F,1,3. Other,2. Other,1,1,0
0,F,1,3. Other,2. Other,1,1,1
0,F,1,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,0,1,0
1,F,1,3. Other,2. Other,1,1,1
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,0,1,0
1,F,1,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,0
1,F,1,3. Other,2. Other,1,1,1
0,F,0,3. Other,2. Other,0,1,0
1,F,0,3. Other,2. Other,0,1,1
0,F,0,1. Rural,1. Rural/Small Rural,0,1,0
0,F,0,1. Rural,1. Rural/Small Rural,0,1,0
0,F,0,1. Rural,1. Rural/Small Rural,1,1,0
1,F,1,3. Other,2. Other,1,1,1
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,0
0,F,1,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,0,1,1
0,F,1,3. Other,2. Other,0,1,0
0,F,1,3. Other,2. Other,1,1,0
1,F,1,3. Other,2. Other,0,1,1
0,F,1,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,0,1,0
0,F,0,1. Rural,1. Rural/Small Rural,1,1,1
0,F,0,3. Other,2. Other,1,1,0
0,F,0,3. Other,2. Other,0,1,0
1,F,1,3. Other,2. Other,1,1,0
0,F,1,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,0,1,1
1,F,0,3. Other,2. Other,0,1,0
1,F,1,3. Other,2. Other,1,1,0
0,F,1,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,1
1,F,1,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,1,1,0
0,F,0,3. Other,2. Other,1,1,1
1,F,1,3. Other,2. Other,1,1,0
1,T,0,3. Other,2. Other,1,1,0
0,F,0,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,0
0,F,1,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,0
0,F,0,1. Rural,1. Rural/Small Rural,0,1,0
0,F,1,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,0,1,0
0,F,1,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,1,1,1
0,F,0,3. Other,2. Other,0,1,0
0,F,1,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,1
1,F,1,3. Other,2. Other,1,1,1
1,F,1,1. Rural,1. Rural/Small Rural,1,1,1
0,F,1,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,0,1,0
0,F,1,3. Other,2. Other,1,1,0
0,F,0,3. Other,2. Other,0,1,1
0,F,1,3. Other,2. Other,1,1,0
0,F,1,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,0,1,0
0,F,1,3. Other,2. Other,0,1,0
0,F,1,3. Other,2. Other,0,1,0
1,F,1,3. Other,2. Other,1,1,0
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,1
0,F,1,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,0,1,0
1,F,1,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,1,1,0
0,F,1,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,0,1,0
0,T,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,1,1,0
1,F,1,3. Other,2. Other,1,1,1
0,F,1,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,1,1,0
0,F,1,3. Other,2. Other,0,1,0
1,F,1,3. Other,2. Other,0,1,0
1,F,1,3. Other,2. Other,1,1,1
0,F,1,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,1
1,F,1,3. Other,2. Other,1,1,1
0,F,1,3. Other,2. Other,0,1,1
0,F,1,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,1,1,0
0,F,0,3. Other,2. Other,0,1,0
1,F,0,3. Other,2. Other,1,1,1
0,F,0,3. Other,2. Other,0,1,1
1,F,1,1. Rural,1. Rural/Small Rural,0,1,0
0,F,0,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,1
1,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,1,1,1
0,F,1,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,1
1,F,0,3. Other,2. Other,1,1,1
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,1
0,F,1,3. Other,2. Other,1,1,0
0,F,0,3. Other,2. Other,0,1,0
0,F,1,3. Other,2. Other,0,1,1
1,F,1,3. Other,2. Other,1,1,0
1,F,1,3. Other,2. Other,1,1,0
1,F,1,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,1,1,0
0,F,1,3. Other,2. Other,1,1,0
0,F,1,3. Other,2. Other,0,1,0
0,F,1,3. Other,2. Other,0,1,0
0,F,1,3. Other,2. Other,1,1,0
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,1,1,0
0,F,0,3. Other,2. Other,0,1,0
0,F,1,3. Other,2. Other,0,1,1
1,F,0,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,0,1,1
1,F,1,3. Other,2. Other,1,1,0
0,F,0,3. Other,2. Other,0,1,0
0,F,0,1. Rural,1. Rural/Small Rural,0,1,0
0,F,1,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,1,1,0
0,F,0,3. Other,2. Other,0,1,0
1,F,0,3. Other,2. Other,1,1,0
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,0
1,F,0,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,0
0,F,1,3. Other,2. Other,1,1,0
1,F,1,1. Rural,1. Rural/Small Rural,0,1,0
0,F,0,3. Other,2. Other,0,1,1
0,F,1,3. Other,2. Other,1,1,0
1,F,1,3. Other,2. Other,0,1,0
1,F,1,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,1
0,F,1,3. Other,2. Other,0,1,1
1,F,1,3. Other,2. Other,0,1,0
1,F,1,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,1
1,F,0,3. Other,2. Other,0,1,0
0,T,0,3. Other,2. Other,0,1,0
0,F,1,3. Other,2. Other,0,1,0
1,F,1,3. Other,2. Other,1,1,0
0,F,0,3. Other,2. Other,0,1,0
0,F,1,3. Other,2. Other,1,1,1
1,F,1,3. Other,2. Other,1,1,0
0,F,1,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,0
0,F,0,1. Rural,1. Rural/Small Rural,0,1,0
0,F,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,1
0,F,1,3. Other,2. Other,0,1,0
1,F,1,3. Other,2. Other,0,1,1
1,F,1,3. Other,2. Other,1,1,0
1,T,0,3. Other,2. Other,0,1,0
0,F,1,3. Other,2. Other,0,1,1
1,T,0,3. Other,2. Other,0,1,1
1,T,1,3. Other,2. Other,0,1,1
1,T,0,3. Other,2. Other,0,1,1
1,T,0,1. Rural,1. Rural/Small Rural,1,1,0
1,T,1,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,1
1,T,1,3. Other,2. Other,0,1,0
0,T,0,3. Other,2. Other,1,1,1
0,F,0,3. Other,2. Other,0,1,1
1,T,0,3. Other,2. Other,0,1,0
0,T,0,3. Other,2. Other,0,1,0
1,T,0,3. Other,2. Other,0,1,1
1,F,0,1. Rural,1. Rural/Small Rural,1,1,1
1,F,1,3. Other,2. Other,0,1,0
1,T,0,3. Other,2. Other,0,1,0
1,T,0,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,1
0,T,0,3. Other,2. Other,0,1,1
0,T,0,3. Other,2. Other,1,1,1
1,T,0,3. Other,2. Other,1,1,1
0,T,1,3. Other,2. Other,0,1,1
0,T,0,3. Other,2. Other,0,1,0
0,T,1,3. Other,2. Other,0,1,1
1,T,0,1. Rural,1. Rural/Small Rural,0,1,0
1,T,0,3. Other,2. Other,1,1,0
0,T,0,3. Other,2. Other,0,1,0
0,T,0,3. Other,2. Other,0,1,0
0,T,0,3. Other,2. Other,1,1,0
0,T,0,3. Other,2. Other,0,1,0
0,T,0,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,0,1,0
0,T,1,3. Other,2. Other,0,1,0
0,T,0,3. Other,2. Other,0,1,1
0,T,1,3. Other,2. Other,0,1,0
1,T,1,3. Other,2. Other,0,1,0
0,F,0,3. Other,2. Other,0,1,0
0,T,0,3. Other,2. Other,0,1,0
0,T,0,3. Other,2. Other,0,1,0
0,T,0,3. Other,2. Other,0,1,0
0,T,0,3. Other,2. Other,1,1,0
1,T,0,1. Rural,1. Rural/Small Rural,1,1,1
0,T,0,3. Other,2. Other,0,1,1
0,T,0,3. Other,2. Other,0,1,1
0,T,0,3. Other,2. Other,0,1,0
0,T,1,3. Other,2. Other,0,1,1
0,T,1,3. Other,2. Other,0,1,0
0,T,0,1. Rural,1. Rural/Small Rural,0,1,0
0,T,1,3. Other,2. Other,0,1,1
1,T,0,3. Other,2. Other,0,1,0
0,F,1,3. Other,2. Other,1,1,0
0,F,1,3. Other,2. Other,1,1,0
0,T,1,3. Other,2. Other,0,1,0
0,T,0,3. Other,2. Other,0,1,1
1,T,1,3. Other,2. Other,0,1,0
0,T,1,3. Other,2. Other,0,1,0
1,T,0,3. Other,2. Other,1,1,1
0,T,1,3. Other,2. Other,0,1,1
1,F,1,3. Other,2. Other,0,1,0
0,T,0,3. Other,2. Other,1,1,0
0,T,0,3. Other,2. Other,1,1,1
0,T,0,3. Other,2. Other,0,1,1
0,F,1,3. Other,2. Other,1,1,0
0,T,0,3. Other,2. Other,0,1,0
0,T,1,3. Other,2. Other,0,1,0
0,T,1,3. Other,2. Other,1,1,1
0,T,0,3. Other,2. Other,0,1,0
0,T,1,3. Other,2. Other,0,1,1
0,F,0,3. Other,2. Other,0,1,0
0,T,0,3. Other,2. Other,0,1,0
0,T,0,3. Other,2. Other,0,1,0
0,T,0,3. Other,2. Other,0,1,1
1,T,1,3. Other,2. Other,1,1,1
0,T,0,3. Other,2. Other,0,1,1
0,T,0,3. Other,2. Other,0,1,1
1,T,1,3. Other,2. Other,1,1,0
0,T,0,3. Other,2. Other,1,1,1
1,T,1,3. Other,2. Other,1,1,0
1,T,0,3. Other,2. Other,0,1,0
0,T,0,3. Other,2. Other,0,1,0
0,F,1,3. Other,2. Other,0,1,1
1,T,0,1. Rural,1. Rural/Small Rural,0,1,1
0,T,0,3. Other,2. Other,0,1,1
1,T,0,3. Other,2. Other,0,1,0
1,T,1,3. Other,2. Other,1,1,0
0,T,1,3. Other,2. Other,1,1,0
0,T,0,3. Other,2. Other,0,1,0
1,T,1,3. Other,2. Other,1,1,0
1,T,1,3. Other,2. Other,0,1,1
0,T,1,3. Other,2. Other,0,1,0
0,T,0,1. Rural,1. Rural/Small Rural,0,1,1
0,T,1,3. Other,2. Other,0,1,0
0,T,0,3. Other,2. Other,0,1,0
0,T,0,3. Other,2. Other,0,1,0
0,T,0,3. Other,2. Other,1,1,0
0,T,1,3. Other,2. Other,0,1,1
0,T,0,3. Other,2. Other,0,1,0
1,T,0,3. Other,2. Other,1,1,0
0,T,0,3. Other,2. Other,0,1,0
0,F,1,3. Other,2. Other,0,1,0
1,T,0,3. Other,2. Other,1,1,0
1,T,1,3. Other,2. Other,0,1,1
1,F,1,3. Other,2. Other,0,1,0
0,F,1,3. Other,2. Other,0,1,0
1,T,0,3. Other,2. Other,1,1,0
0,T,0,3. Other,2. Other,0,1,0
0,T,0,3. Other,2. Other,0,1,0
0,T,1,3. Other,2. Other,0,1,1
0,T,0,3. Other,2. Other,1,1,1
1,T,0,3. Other,2. Other,0,1,1
0,T,0,3. Other,2. Other,0,1,1
0,T,0,3. Other,2. Other,1,1,0
0,T,0,3. Other,2. Other,0,1,0
0,T,0,3. Other,2. Other,1,1,0
1,T,1,3. Other,2. Other,0,1,1
1,T,1,3. Other,2. Other,0,1,1
1,T,0,1. Rural,1. Rural/Small Rural,1,1,0
